solref_tconst,solref_dampratio,scene,cmd_vx,cmd_vy,cmd_yaw,gait,seed,fell,fall_time_s,mean_vx,mean_vy,vel_track_err,lateral_drift,height_mean,height_std,distance_traveled
0.02,1.0,go2_flat.xml,1.0,0.0,0.0,trot,13,False,,0.5045,-0.0114,0.4955,0.0147,0.2862,0.0065,15.1369
0.02,1.0,go2_flat.xml,1.0,0.0,0.0,trot,14,False,,0.5046,-0.0017,0.4954,0.0127,0.2862,0.0065,15.1368
0.04,1.0,go2_flat.xml,1.0,0.0,0.0,trot,0,False,,0.5032,-0.0377,0.4968,0.0377,0.2862,0.0065,15.1369
0.04,1.0,go2_flat.xml,1.0,0.0,0.0,trot,1,False,,0.5046,-0.0003,0.4954,0.0128,0.2862,0.0065,15.1369
0.04,1.0,go2_flat.xml,1.0,0.0,0.0,trot,2,False,,0.5046,-0.0043,0.4954,0.0128,0.2862,0.0065,15.137
0.04,1.0,go2_flat.xml,1.0,0.0,0.0,trot,3,False,,0.5045,-0.0078,0.4955,0.0134,0.2862,0.0065,15.137
0.04,1.0,go2_flat.xml,1.0,0.0,0.0,trot,4,False,,0.5046,0.0053,0.4954,0.0138,0.2862,0.0065,15.1369
0.04,1.0,go2_flat.xml,1.0,0.0,0.0,trot,5,False,,0.5045,0.0104,0.4955,0.0156,0.2862,0.0065,15.1369
0.04,1.0,go2_flat.xml,1.0,0.0,0.0,trot,6,False,,0.5045,0.0109,0.4955,0.0158,0.2862,0.0065,15.1369
0.04,1.0,go2_flat.xml,1.0,0.0,0.0,trot,7,False,,0.5045,-0.0083,0.4955,0.0135,0.2862,0.0065,15.137
0.04,1.0,go2_flat.xml,1.0,0.0,0.0,trot,8,False,,0.5037,-0.0303,0.4963,0.0303,0.2862,0.0065,15.1369
0.04,1.0,go2_flat.xml,1.0,0.0,0.0,trot,9,False,,0.5046,0.0035,0.4954,0.0134,0.2862,0.0065,15.1369
0.04,1.0,go2_flat.xml,1.0,0.0,0.0,trot,10,False,,0.5046,0.003,0.4954,0.0133,0.2862,0.0065,15.1369
0.04,1.0,go2_flat.xml,1.0,0.0,0.0,trot,11,False,,0.5041,-0.0225,0.4959,0.0227,0.2862,0.0065,15.137
0.04,1.0,go2_flat.xml,1.0,0.0,0.0,trot,12,False,,0.504,-0.0239,0.496,0.024,0.2862,0.0065,15.137
0.04,1.0,go2_flat.xml,1.0,0.0,0.0,trot,13,False,,0.5045,-0.0114,0.4955,0.0147,0.2862,0.0065,15.1369
0.04,1.0,go2_flat.xml,1.0,0.0,0.0,trot,14,False,,0.5046,-0.0017,0.4954,0.0127,0.2862,0.0065,15.1368
