foot_friction_mu,foot_friction_tor,foot_friction_roll,scene,cmd_vx,cmd_vy,cmd_yaw,gait,seed,fell,fall_time_s,mean_vx,mean_vy,vel_track_err,lateral_drift,height_mean,height_std,distance_traveled
0.8,0.02,0.01,go2_flat.xml,1.0,0.0,0.0,trot,11,False,,0.5041,-0.0225,0.4959,0.0227,0.2862,0.0065,15.137
0.8,0.02,0.01,go2_flat.xml,1.0,0.0,0.0,trot,12,False,,0.504,-0.0239,0.496,0.024,0.2862,0.0065,15.137
0.8,0.02,0.01,go2_flat.xml,1.0,0.0,0.0,trot,13,False,,0.5045,-0.0114,0.4955,0.0147,0.2862,0.0065,15.1369
0.8,0.02,0.01,go2_flat.xml,1.0,0.0,0.0,trot,14,False,,0.5046,-0.0017,0.4954,0.0127,0.2862,0.0065,15.1368
0.8,0.02,0.01,go2_flat.xml,1.5,0.0,0.0,trot,0,False,,0.5737,0.3204,0.9263,0.322,0.2974,0.0062,19.7117
0.8,0.02,0.01,go2_flat.xml,1.5,0.0,0.0,trot,1,False,,0.5524,0.3559,0.9476,0.3559,0.2974,0.0062,19.7121
0.8,0.02,0.01,go2_flat.xml,1.5,0.0,0.0,trot,2,False,,0.5573,0.348,0.9427,0.3481,0.2974,0.0062,19.7114
0.8,0.02,0.01,go2_flat.xml,1.5,0.0,0.0,trot,3,False,,0.5609,0.3423,0.9391,0.3426,0.2974,0.0062,19.7118
0.8,0.02,0.01,go2_flat.xml,1.5,0.0,0.0,trot,4,False,,0.5442,0.3683,0.9558,0.3683,0.2974,0.0062,19.7115
0.8,0.02,0.01,go2_flat.xml,1.5,0.0,0.0,trot,5,False,,0.5421,0.3713,0.9579,0.3713,0.2974,0.0062,19.7115
0.8,0.02,0.01,go2_flat.xml,1.5,0.0,0.0,trot,6,False,,0.5458,0.3659,0.9542,0.3659,0.2974,0.0062,19.712
0.8,0.02,0.01,go2_flat.xml,1.5,0.0,0.0,trot,7,False,,0.5584,0.3464,0.9416,0.3465,0.2974,0.0062,19.7118
0.8,0.02,0.01,go2_flat.xml,1.5,0.0,0.0,trot,8,False,,0.5764,0.3154,0.9236,0.3176,0.2974,0.0062,19.712
0.8,0.02,0.01,go2_flat.xml,1.5,0.0,0.0,trot,9,False,,0.5482,0.3623,0.9518,0.3623,0.2974,0.0062,19.7121
0.8,0.02,0.01,go2_flat.xml,1.5,0.0,0.0,trot,10,False,,0.5457,0.3661,0.9543,0.3661,0.2974,0.0062,19.7115
